id,sum,text
7238,1290,кофе зерно yes_nds_tag
7239,3980000,договор процентный заём no_nds_tag
7240,248000000,предоставление денежный средство договор заём no_nds_tag
7241,1830,вафли коровка топлёный молоко amount_tag
7242,720,торт mirel карамельный сгущёнка amount_tag
7243,1670,салфетки tolli classic бумажный универсальные ассортимент amount_tag
7244,860,налог
7245,1470,яблоко голден
7246,2610000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
7247,1060,гос услуга
7248,2340,государственный пошлина
7249,5900,акт транспортный услуга yes_nds_tag
7250,5800,бухгалтерский сопровождение
7251,4760,собств средство
7252,25600,оказание услуга
7253,2120,коммунальный услуга
7254,45300,авиабилет проживание основание
7255,48300,транспортный услуга no_nds_tag
7256,1220,перевод средство собственный счёт
7257,49200,бетон марка yes_nds_tag
7258,1930000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
7259,2820,набор кондитерский изделие mms friends amount_tag
7260,2030,государственный пошлина
7261,29800,транспортный услуга no_nds_tag
7262,19400,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
7263,3600,комиссия платёж валюта российский федерация лицо другие кредитный организация
7264,3070,салфетки econta универсальные amount_tag ассортимент
7265,12400,обучение
7266,1790,посуда сервировка
7267,1000000,договор процентный заём no_nds_tag
7268,2500,сухой завтрак мюсли
7269,2920000,дымовские колбаса yes_nds_tag
7270,3650,заправка maggi борщ свекольный томатный пастеризованная amount_tag
7271,1920,свеча kukina raffinata хозяйственный amount_tag
7272,117000000,догвору купля продажа вилла address_tag
7273,7700,транспортировка перевозка транспорт address_tag address_tag
7274,910,форма liberhaus запекание круглый ассортимент
7275,1440000,предоставление кредит приобретение транспортный средство
7276,10800,размещение реклама
7277,2700,чай зелёный assand milk oolong китайский молочный улун amount_tag
7278,4770000,рамка договор финансовый аренда yes_nds_tag
7279,24900,услуга yes_nds_tag
7280,520,гос пошлина
7281,3070,кондиционер бельё abc camellia love amount_tag
7282,4800000,жктм yes_nds_tag
7283,4430,молоко сухой си продукт гост цельный amount_tag
7284,218000000,догвору купля продажа вилла address_tag
7285,28900,доплата аренда помещение апрель address_tag
7286,48300,мясной деликатес yes_nds_tag
7287,1880000,транспортный услуга yes_nds_tag
7288,9200,консультация юрист
7289,33400,частичный картон yes_nds_tag
7290,18300,покупка авиабилет address_tag address_tag дон
7291,2710,гос услуга
7292,272000000,предоставление денежный средство договор заём no_nds_tag
7293,4580000,нутсафлор yes_nds_tag
7294,40600,договор акт транспортный услуга yes_nds_tag
7295,28700,покупка авиабилет address_tag address_tag
7296,4780,гос услуга
7297,2800,пирожный orion choco pie глазурь amount_tag
7298,2400,консульский сбор
7299,1050000,договор процентный заём no_nds_tag
7300,10300,аренда машина автомобиль
7301,34200,доплата аренда помещение март address_tag
7302,2550000,предоставление кредит приобретение недвижимость
7303,3360,груши китайский
7304,50000,медицинский обслуживание
7305,2590000,жктм yes_nds_tag
7306,26600,бронирование отель address_tag
7307,7200,консультирование сфера информационный технология
7308,2750,кондиционер бельё вернель свежий бриз концентрированный amount_tag
7309,29900,авиабилет проживание основание
7310,1270,государственный пошлина
7311,2030,коммунальный услуга
7312,208000000,возврат денежный средство договор заём no_nds_tag
7313,2270,перевод
7314,5700,консультирование сфера информационный технология
7315,47700,авиабилет проживание основание
7316,1480,минеральный питьевой вода no_nds_tag
7317,3450000,предоставление кредит приобретение транспортный средство
7318,8800,услуга yes_nds_tag
7319,1690000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
7320,11200,штук новогодний шоколадный подарок yes_nds_tag
7321,18700,ндс комиссия акб первый банк ао выполнение функция агент валютный контроль
7322,3830,гос услуга
7323,2570,цикорий больший чашка черничный растворимый amount_tag
7324,22900,консультирование сфера информационный технология
7325,4760,коммунальный услуга
7326,4890,мороженый сарафаново пломбир шоколадный бзмж amount_tag
7327,35600,транспортировка перевозка автомобиль address_tag address_tag
7328,452000000,догвору купля продажа вилла address_tag
7329,3320,гель чистить glorix med ультра гигиена универсальный amount_tag
7330,1710,арома блок доместос арома люкс дуо сказочный аромат очищение унитаз amount_tag
7331,44900,пищев добавка ев курс yes_nds_tag
7332,3920,консульский сбор
7333,18400,штук новогодний шоколадный подарок yes_nds_tag
7334,4580,коктейль морепродукт fish house рассол amount_tag
7335,4790,ндс комиссия выполнение функция агент валютный контроль операция рамка контракт
7336,2540000,обеспечительный платёж вилла
7337,36700,пищев добавка ев курс yes_nds_tag
7338,1040,комиссионный вознаграждение валютный перевод
7339,4790,государственный пошлина
7340,840,гель капсула стирка
7341,4910,комиссия платёж валюта российский федерация лицо другие кредитный организация
7342,4840000,догоовру процентный заём no_nds_tag
7343,304000000,догвору купля продажа вилла address_tag
7344,4720,налог
7345,25700,возмещаемые расход yes_nds_tag
7346,1960,гос услуга
7347,4660,консульский сбор
7348,46600,медицинский обслуживание
7349,21100,мкр фильтрпресса yes_nds_tag
7350,4420000,транспортный услуга yes_nds_tag
7351,21900,мясной деликатес yes_nds_tag
7352,2090,набор подарочный lava lava новогодний amount_tag
7353,358000000,предоставление денежный средство договор заём no_nds_tag
7354,3670,крабовый палочка fish house снежный краб имитация охладить amount_tag
7355,1240000,дымовские колбаса yes_nds_tag
7356,3080000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
7357,4020,антиперспирант nivea эффект пудра женский спрей amount_tag
7358,36300,оказание услуга
7359,25200,авиабилет проживание основание
7360,2430,гос услуга
7361,4090000,акт сверка рамка договор лизинг yes_nds_tag
7362,242000000,приобретение недвижимость address_tag
7363,4460,пакет liberhaus продукт amount_tag amount_tag
7364,1600,ананас красный цена кусочки сироп amount_tag
7365,4730000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
7366,4520,козинак agrosputnik богучарский amount_tag
7367,1900000,предоставление кредит договор приобретение транспортный средство
7368,3640,соление протёртый ягода
7369,1270000,авгутса address_tag сброс загрязнять вещество
7370,3370,комиссионный вознаграждение валютный перевод
7371,800000,предоставление кредит нецелевой кредит
7372,1730000,транспортный услуга yes_nds_tag
7373,3580,процент период
7374,2760,собств средство
7375,4870,изюм светлый
7376,3340,собственный средство
7377,3910,гостиница россия address_tag
7378,4640000,договор лизинг акт приём передача yes_nds_tag
7379,216000000,возврат денежный средство договор заём no_nds_tag
7380,30500,авиабилет проживание основание
7381,1190000,договор процентный заём no_nds_tag
7382,3000,чрный чай
7383,10300,оказание услуга
7384,3180,круассан days крем какао amount_tag
7385,27000,обучение
7386,30500,оказание услуга
7387,27300,частичный картон yes_nds_tag
7388,880000,транспортный услуга yes_nds_tag
7389,4090,штраф
7390,2830,кондиционер бельё
7391,4940,гель стирка персил power gel color amount_tag
7392,1140,налог
7393,1660,печение крекер
7394,960000,договор процентный заём no_nds_tag
7395,16000,информационный услуга
7396,178000000,предоставление денежный средство договор заём no_nds_tag
7397,22700,товарный накладный конфета алнка yes_nds_tag
7398,20800,пищев добавка ев курс yes_nds_tag
7399,29500,услуга yes_nds_tag
7400,2530,минеральный питьевой вода no_nds_tag
7401,8300,выплата содержание родный ребёнок
7402,690,перевод средство собственный счёт
7403,165000000,предоставление денежный средство договор заём no_nds_tag
7404,32400,услуга yes_nds_tag
7405,13600,товарный накладный конфета алнка yes_nds_tag
7406,33200,бронирование отель address_tag
7407,18600,бетон марка yes_nds_tag
7408,3370,комиссия срочный платёж валюта российский федерация другие кредитный организация
7409,810000,договор лизинг акт приём передача yes_nds_tag
7410,27700,минеральный питьевой вода no_nds_tag
7411,4920,смесь сухой maggi второй макарон томатный мясной соус болонез amount_tag
7412,4360,икра
7413,1650,гостиница россия address_tag
7414,45900,бухгалтерский сопровождение
7415,4000000,аванс гсм сумма yes_nds_tag
7416,28100,размещение реклама
7417,3420,колбаска мираторг свинина жарка охладить amount_tag
7418,3500,мыло absolut масло чайный дерево amount_tag
7419,1030,кальмар сушёный fish house стружка amount_tag
7420,940,гос услуга
7421,4780,пряник ясный поляна тульский начинка варёный сгущёнка amount_tag
7422,409000000,предоставление денежный средство договор заём no_nds_tag
7423,1760,штраф
7424,187000000,счёт яхта катер midnight express fl
7425,1390,комиссия платёж валюта российский федерация лицо другие кредитный организация
7426,2010,комиссия организация сделка дог лизинг yes_nds_tag
7427,980,кружка пластишка детский ассортимент amount_tag
7428,46000,услуга yes_nds_tag
7429,2840000,акт сверка рамка договор лизинг yes_nds_tag
7430,900,рис селяночка круглозрный шлифованный amount_tag
7431,28500,покупка непродовольственный товар связать предпринимательский деятельность
7432,4630,вафли шарлиз голландский карамельный начинка amount_tag
7433,3630,государственный пошлина
7434,2200,коммунальный услуга
7435,3980,набор контейнер liberhaus amount_tag ассортимент
7436,3720,собственный средство
7437,6000,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
7438,7100,amount_tag мкр фильтрпресса yes_nds_tag
7439,4250000,рамка договор финансовый аренда yes_nds_tag
7440,1610000,дымовские колбаса yes_nds_tag
7441,9500,покупка авиабилет address_tag address_tag
7442,2800000,долевой инвестирование жилищный строительство
7443,1580,комиссия организация сделка дог лизинг yes_nds_tag
7444,3820000,насос частичный yes_nds_tag
7445,2850000,акт сверка рамка договор лизинг yes_nds_tag
7446,4810000,рамка договор финансовый аренда yes_nds_tag
7447,4730000,дог финансовый аренда акт приём передача yes_nds_tag
7448,1790,собств средство
7449,213000000,приобретение недвижимость address_tag
7450,485000000,возврат денежный средство договор заём no_nds_tag
7451,1890,средство стирка лоск color amount_tag
7452,3150000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
7453,12900,частичный костюм фаворит yes_nds_tag
7454,2150000,сырь пищевой промышленность yes_nds_tag
7455,3030,гос пошлина
7456,42800,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
7457,3700,заправка maggi борщ свекольный томатный пастеризованная amount_tag
7458,1230000,строительный работа address_tag
7459,3810,пелёнка подгузник
7460,2750000,запасный часть оборудование
7461,45800,программирование блок фара mercedes vin работа выполняться
7462,1850,средство calgon смягчение вода предотвращение образование известковый налёт amount_tag
7463,990,гостиница россия address_tag
7464,910,говядина телятина
7465,47700,аачисление средство текущий основание распоряжение списание ин валюта трансферный
7466,4090000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
7467,19800,консультация юрист
7468,1350,перевод средство собственный счёт
7469,2260,средство мытьё посуда fairy нежный рука чайный дерево мята amount_tag
7470,530,государственный пошлина
7471,39900,частичный костюм фаворит yes_nds_tag
7472,1210000,рамка договор финансовый аренда yes_nds_tag
7473,3880,фольга алюминиевый econta хранение упаковка продукт amount_tag
7474,5800,авиабилет проживание основание
7475,21800,amount_tag мкр фильтрпресса yes_nds_tag
7476,3100,собств средство
7477,8500,лечение
7478,32800,возмещение расохдов страхование осаго договор лизинг сумма no_nds_tag
7479,16100,медицинский обслуживание
7480,3220000,покупка продовольственный товар
7481,32700,лечение
7482,1940,сухой завтрак мюсли
7483,4250000,покупка продовольственный товар
7484,4280,гос услуга
7485,30900,консультирование сфера информационный технология
7486,3260000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
7487,2070,имбирь kotanyi молотый amount_tag
7488,4350000,долевой инвестирование жилищный строительство
7489,860000,договор процентный заём no_nds_tag
7490,3820000,предоплата автозапчасти год
7491,423000000,догвору купля продажа вилла address_tag
7492,1580000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
7493,6900,абхазсие мандарины yes_nds_tag
7494,22400,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
7495,49000,бетон марка yes_nds_tag
7496,4680000,строительный работа address_tag
7497,560,конфета конти живинка вкус арбуз
7498,48300,авиабилет проживание основание
7499,34000,счёт фактура фитингиметизы yes_nds_tag
7500,9600,авиабилет проживание основание
7501,36100,авиабилет проживание основание
7502,7700,покупка авиабилет address_tag address_tag
7503,425000000,счёт яхта катер midnight express fl
7504,30900,покупка авиабилет address_tag новгород address_tag
7505,3490000,обеспечительный платёж вилла
7506,3770,гос услуга
7507,37900,обучение
7508,2880,освежитель воздух liberhaus тропический остров amount_tag
7509,29200,информационный услуга договор
7510,36000,консультирование сфера информационный технология
7511,1280,средство grass azelit spray стеклокерамика чистить кухня amount_tag
7512,3140,сумка арта дизайн текстильный дизайн ассортимент
7513,78000000,возврат денежный средство договор заём no_nds_tag
7514,4170000,покупка продовольственный товар
7515,28600,размещение реклама
7516,14700,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
7517,4120,банковский сбор налог ндс
7518,10800,консультирование сфера информационный технология
7519,190000000,дкп коттедж посёлок благовещенский
7520,660,бумажный полотенце
7521,1840,налог
7522,29100,консультация юрист
7523,3000000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
7524,4430000,предоставление кредит приобретение транспортный средство
7525,2750000,договор процентный заём no_nds_tag
7526,4580,маска koreain pearl yeast activating mask увлажнять тканевый экстракт жемчуг amount_tag
7527,2100000,акт сверка рамка договор лизинг yes_nds_tag
7528,10900,программирование блок фара mercedes vin работа выполняться
7529,1900000,дог финансовый аренда акт приём передача yes_nds_tag
7530,11900,доплата аренда помещение сентябрь address_tag
7531,3040,пакет liberhaus замораживание хранение пищевой продукт замок тип zip lock amount_tag amount_tag
7532,449000000,приобретение недвижимость address_tag
7533,3010000,договор процентный заём no_nds_tag
7534,890,аксессуар стирка
7535,20100,комиссия обслуживание система клиент банк период no_nds_tag
7536,2960,государственный пошлина
7537,3610,гос пошлина
7538,48400,абхазсие мандарины yes_nds_tag
7539,1370000,дог финансовый аренда акт приём передача yes_nds_tag
7540,4910000,долевой инвестирование жилищный строительство
7541,20800,транспортировка перевозка грузовой транспротом address_tag address_tag
7542,14800,red bull no_nds_tag
7543,40500,авиабилет проживание основание
7544,20100,лечение
7545,3410000,услуга yes_nds_tag перевозка груз
7546,25500,комиссия выполнение функция агент валютный контроль операция рамка контракт кредитный обслуживание
7547,2830000,нутсафлор yes_nds_tag
7548,3980000,аренда помещение договор субаренда
7549,34500,размещение реклама
7550,4610,креветки красный цена королевский варено мороженый неразделанные
7551,36400,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
7552,5400,доставка грузовой транспорт address_tag петербург address_tag
7553,3600,собственный средство
7554,20700,медицинский обслуживание
7555,24400,обучение
7556,4560000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
7557,4640,гос услуга
7558,1340000,договор процентный заём no_nds_tag
7559,31900,авиабилет проживание основание
7560,24000,оказание прочих услуга
7561,36500,доплата аренда помещение сентябрь address_tag
7562,1900,гос пошлина
7563,243000000,счёт яхта катер midnight express fl
7564,23900,бронирование отель address_tag
7565,257000000,возврат денежный средство договор заём no_nds_tag
7566,44200,товарой накладный штук пачка кофе lavaza yes_nds_tag
7567,4540,средство мытьё посуда fairy нежный рука ромашка витамин amount_tag
7568,24300,размещение реклама
7569,1320000,сырье пвад yes_nds_tag
7570,620000,жктм yes_nds_tag
7571,3820000,договор процентный заём no_nds_tag
7572,200000000,предвариельному квартира жк address_tag
7573,35100,договор бухгалтерский сопровождение
7574,770000,договор процентный заём no_nds_tag
7575,2830000,договор процентный заём no_nds_tag
7576,4290000,предоставление кредит приобретение недвижимость
7577,4610,фольга алюминиевый econta хранение упаковка продукт amount_tag
7578,1900,печение orion choco boy обогащать добавка amount_tag
7579,2590000,лизинговый платёж yes_nds_tag
7580,39100,акт транспортный услуга yes_nds_tag
7581,4470000,дымовские колбаса yes_nds_tag
7582,41900,товарный накладный конфета алнка yes_nds_tag
7583,21800,транспортировка перевозка грузовой транспорт address_tag address_tag
7584,2490000,рамка договор финансовый аренда yes_nds_tag
7585,12500,оказание прочих услуга
7586,4010,салфетки econta универсальные рулон amount_tag amount_tag
7587,29400,консультирование сфера информационный технология
7588,3560000,дог финансовый аренда акт приём передача yes_nds_tag
7589,4970,чай зелёный curtis fresh mojito amount_tag
7590,1910,посуда сервировка
7591,13500,покупка орг техника
7592,4750,собств средство
7593,3380,налог
7594,700000,договор процентный заём no_nds_tag
7595,39300,частичный картон yes_nds_tag
7596,30400,абхазсие мандарины yes_nds_tag
7597,3030000,лизинговый платёж yes_nds_tag
7598,1890000,дог финансовый аренда акт приём передача yes_nds_tag
7599,45200,amount_tag мкр фильтрпресса yes_nds_tag
7600,2700,собственный средство
7601,1990000,аренда помещение договор субаренда
7602,540,леденец бон паря фруктовый микс amount_tag
7603,1930,аксессуар стирка
7604,450000000,возврат денежный средство договор заём no_nds_tag
7605,3180000,акт сверка рамка договор лизинг yes_nds_tag
7606,4250,туалетный бумага zewa deluxe аромат слой рулон
7607,940,полотенце econta amount_tag ассортимент
7608,1190,очиститель tiret стиральный машина amount_tag
7609,1380000,обеспечительный платёж вилла
7610,3310,гранат
7611,277000000,предоставление денежный средство договор заём no_nds_tag
7612,550000,насос частичный yes_nds_tag
7613,48900,счёт фактура фитингиметизы yes_nds_tag
7614,34300,основный долг период оао второй банк
7615,7600,тур поездка
7616,760000,рамка договор финансовый аренда yes_nds_tag
7617,1480,паста ложок сила арахисовый кремовый amount_tag
7618,47700,частичный костюм фаворит yes_nds_tag
7619,25300,участие конференция address_tag камчатский
7620,920000,рамка договор финансовый аренда yes_nds_tag
7621,990,комиссия организация сделка дог лизинг yes_nds_tag
7622,3400,коммунальный услуга
7623,31300,red bull no_nds_tag
7624,2920,столовый бальзамический уксус
7625,42800,акт транспортный услуга yes_nds_tag
7626,4340000,предоставление кредит приобретение недвижимость
7627,1680,бумага выпечка econta смх amount_tag
7628,4310,собственный средство
7629,22300,алименты
7630,342000000,возврат денежный средство договор заём no_nds_tag
7631,23100,консультирование сфера информационный технология
7632,930000,договор процентный заём no_nds_tag
7633,2670,корица kotanyi молотый amount_tag
7634,3180,гостиница россия address_tag
7635,1040,крем мыло aura pure cotton хлопок мёд amount_tag
7636,1020,налог
7637,1920000,лизинговый платёж yes_nds_tag
7638,7400,аренда машина автомобиль
7639,2840,гречка агро альянс экстра элитный amount_tag
7640,3090,налог
7641,1790,уксус сп мирный aceto balsamico бальзамический amount_tag
7642,49800,пищев добавка ев курс yes_nds_tag
7643,181000000,предоставление денежный средство договор заём no_nds_tag
7644,151000000,предоставление денежный средство договор заём no_nds_tag
7645,3690000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
7646,34200,товарой накладный штук пачка кофе lavaza yes_nds_tag
7647,13400,участие конференция address_tag
7648,2270,круассан days крем какао amount_tag
7649,2010,паста ем банан фундук десертный добавление какао amount_tag
7650,1320,кухонный аксессуар
7651,22600,тур поездка
7652,37800,акт транспортный услуга yes_nds_tag
7653,1160000,строительный работа address_tag
7654,700,гостиница россия address_tag
7655,2340,налог
7656,2410,коммунальный услуга
7657,28400,штук новогодний шоколадный подарок yes_nds_tag
7658,4790,комиссия организация сделка дог лизинг yes_nds_tag
7659,10100,программирование блок фара mercedes vin работа выполняться
7660,550000,рамка договор финансовый аренда yes_nds_tag
7661,2110,коммунальный услуга
7662,3100,шницель свиной рестория охладить amount_tag
7663,23600,обучение
7664,32000,размещение реклама
7665,2240000,договор процентный заём no_nds_tag
7666,4830,мешок мусор econta amount_tag amount_tag
7667,4290,чай чёрный richard royal berries selection лесной ягода amount_tag
7668,3770,хурма
7669,254000000,приобретение недвижимость address_tag договор
7670,1760,средство чистить бреф сила актив лимонный свежесть унитаз amount_tag
7671,409000000,возврат денежный средство договор заём no_nds_tag
7672,1010000,предоставление кредит приобретение товар длительный пользование
7673,4520,комиссия срочный платёж валюта российский федерация другие кредитный организация
7674,1830000,акт сверка рамка договор лизинг yes_nds_tag
7675,1520,кукурузный масло
7676,2830,государственный пошлина
7677,21100,основный долг период оао второй банк
7678,42700,тур поездка
7679,1220000,дог финансовый аренда акт приём передача yes_nds_tag
7680,2340,батарейка liberhaus aaa amount_tag
7681,30700,мкр фильтрпресса yes_nds_tag
7682,510,гель порошок универсальные
7683,254000000,предвариельному квартира жк address_tag
7684,980000,предоставление кредит приобретение транспортный средство
7685,25700,консультация юрист
7686,3250000,аренда помещение договор субаренда
7687,337000000,предвариельному квартира жк адерсу address_tag восточный ул
7688,14700,возмещаемые расход yes_nds_tag
7689,19200,услуга yes_nds_tag
7690,115000000,приобретение недвижимость address_tag
7691,256000000,предвариельному квартира жк address_tag
7692,4570,огурец global village целый маринованные amount_tag
7693,2950,гостиница россия address_tag
7694,13500,бухгалтерский сопровождение
7695,4770000,пополнение оборотный средство no_nds_tag
7696,1580000,услуга yes_nds_tag перевозка груз
7697,12200,red bull no_nds_tag
7698,1150,шницель свиной рестория охладить amount_tag
7699,1840,голень куриный охлажденная
7700,324000000,возврат денежный средство договор заём no_nds_tag
7701,4700000,игристый вино asti yes_nds_tag
7702,1070,налог
7703,37400,оказание услуга
7704,4310,штраф
7705,3050000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
7706,3500000,нутсафлор yes_nds_tag
7707,32200,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
7708,3130000,насос частичный yes_nds_tag
7709,1330,набор свеча econta день рождение торт цветной ассортимент amount_tag
7710,44500,акт транспортный услуга налогандс
7711,33800,бетон марка yes_nds_tag
7712,20600,тур поездка
7713,2670,минеральный питьевой вода no_nds_tag
7714,11600,покупка авиабилет address_tag address_tag
7715,409000000,возврат денежный средство договор заём no_nds_tag
7716,138000000,возврат денежный средство договор заём no_nds_tag
7717,1240,гвоздика рестория целый amount_tag
7718,33000,размещение реклама
7719,4640,гос пошлина
7720,26600,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
7721,820000,предоставление кредит приобретение товар длительный пользование
7722,46100,покупка авиабилет address_tag address_tag
7723,27700,аренда машина автомобиль
7724,46000,оказание услуга
7725,29000,лечение
7726,1350,собственный средство
7727,8600,бронирование отель address_tag
7728,36000,бронирование отель address_tag
7729,47800,бронирование отель address_tag
7730,3870000,предоставление кредит приобретение транспортный средство
7731,1100000,строительный работа address_tag
7732,40000,транспортный услуга no_nds_tag
7733,1510000,лизинговый платёж yes_nds_tag
7734,25200,выплата содержание родный ребёнок
7735,13600,пищев добавка ев курс yes_nds_tag
7736,1330,коммунальный услуга
7737,14100,транспортный услуга no_nds_tag
7738,3670,конфета milla vanilla кокосовый стружка amount_tag
7739,2110,комиссия организация сделка дог лизинг address_tag yes_nds_tag
7740,2250000,запчасть договор поставка гбд ао автодом ауди
7741,3680,контейнер еда
7742,3180,консервы фрукт ягода
7743,8500,мкр фильтрпресса yes_nds_tag
7744,2180000,предоставление кредит приобретение товар длительный пользование
7745,24100,авиабилет проживание основание
7746,3180,огурец солёный красный цена amount_tag
7747,4140000,лизинговый платёж yes_nds_tag
7748,39800,транспортировка перевозка грузовой транспорт address_tag address_tag
7749,34100,юридический услуга договор
7750,33000,транспортировка перевозка водный транспорт address_tag address_tag
7751,300000000,возврат денежный средство договор заём no_nds_tag
7752,2320,яйцо шоколадный kids box десерт подарок ассортимент amount_tag
7753,2480000,лизинговый платёж yes_nds_tag
7754,13100,размещение реклама
7755,4220000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
7756,2680,перевод
7757,14100,мясной деликатес yes_nds_tag
7758,2540000,дымовские колбаса yes_nds_tag
7759,4430,порошок стиральный миф морозный свежесть автомат amount_tag
7760,520000,игристый вино asti yes_nds_tag
7761,950,налог
7762,3090000,договор процентный заём no_nds_tag
7763,46700,консультация юрист
7764,2790,штраф
7765,3070,экзотический фрукт
7766,2370000,предоставление кредит приобретение недвижимость
7767,2000,крем мыло aura pure cotton хлопок мёд amount_tag
7768,4530,комиссия справка наличие отсутствие ссудный задолженность письменный запрос клиент
7769,550,фисташка красный цена неочищенный жареный солёный amount_tag
7770,570,гос пошлина
7771,35500,amount_tag согл amount_tag счёт фактура
7772,65000000,возврат денежный средство договор заём no_nds_tag
7773,14700,доплата аренда помещение июнь address_tag
7774,1740000,строительный работа address_tag
7775,3460,средство насекомое
7776,2340000,предоставление кредит приобретение транспортный средство
7777,2830000,договор процентный заём no_nds_tag
7778,980,средство чистить econta сливной бак таблетка
7779,28000,покупка непродовольственный товар связать предпринимательский деятельность
7780,415000000,возврат денежный средство договор заём no_nds_tag
7781,47200,консультирование сфера информационный технология
7782,30700,юридический услуга
7783,1290,ролик econta чистка одежда ассортимент
7784,2980000,насос частичный yes_nds_tag
7785,4520,комиссия организация сделка дог лизинг yes_nds_tag
7786,2850,гвоздика рестория целый amount_tag
7787,630000,аренда помещение договор субаренда
7788,2360,собственный средство
7789,2750,перец индана душистый горошек amount_tag
7790,296000000,дкп коттедж посёлок благовещенский
7791,2780,комиссия справка наличие отсутствие ссудный задолженность письменный запрос клиент
7792,1060,государственный пошлина
7793,18500,товарой накладный штук пачка кофе lavaza yes_nds_tag
7794,4940,драже mms молочный шоколад amount_tag
7795,39700,абхазсие мандарины yes_nds_tag
7796,3000000,рамка договор финансовый аренда yes_nds_tag
7797,12000,ндс комиссия акб первый банк ао выполнение функция агент валютный контроль
7798,1940,налог
7799,3360,персик global village половинка сироп amount_tag
7800,4450,бумажный платочки салфетки
7801,31700,программирование блок фара mercedes vin работа выполняться
7802,2290000,рамка договор финансовый аренда yes_nds_tag
7803,670,комиссионный вознаграждение валютный перевод
7804,28300,доплата аренда помещение июль address_tag
7805,43700,тур поездка
7806,10600,абхасзие мандарины yes_nds_tag
7807,3330,дезодорант seasons обувь amount_tag
7808,47900,юридический услуга
7809,4200000,предоставление кредит нецелевой кредит
7810,24300,выплата содержание родный ребёнок
7811,21400,абхазсие мандарины yes_nds_tag
7812,10200,счёт фактура фитингиметизы yes_nds_tag
7813,710000,предоставление кредит приобретение транспортный средство
7814,2970,зажигалка foxlite fx ассортимент
7815,4260,перец индана душистый горошек amount_tag
7816,2360,перевод собственный средство собственный счёт
7817,2790,губка мытьё посуда econta maxi amount_tag
7818,3390,чайный напиток принцесса ява каркадэ amount_tag
7819,3440,комиссионный вознаграждение валютный перевод
7820,1100000,дог финансовый аренда акт приём передача yes_nds_tag
7821,39600,минеральный питьевой вода no_nds_tag
7822,3790,паста балтийский берег creme le mare сливочный морепродукт amount_tag
7823,570,гос пошлина
7824,530,зефир красный цена ванильный amount_tag
7825,2020,процент период
7826,24300,лечение
7827,2770000,дымовские колбаса yes_nds_tag
7828,2220000,договор проецнтного заём no_nds_tag
7829,1210,набор подарочный pantene pro aqua light шампунь бальзам amount_tag amount_tag
7830,3300,государственный пошлина
7831,4000,комиссия справка движение счёт обороты письменный запрос клиент согласно
